                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                  0.937,                 1.5214,                 1.3621,                0.88211,                0.40869,                0.68334,                0.37631,                 1.8381,                 1.8385,                 1.5241,             5.5071e-05,             5.5071e-05,             5.5071e-05
                     59,                 1.0408,                 1.5672,                 1.3984,                0.88211,                0.40869,                0.68334,                0.37631,                 1.8381,                 1.8385,                 1.5241,              5.581e-05,              5.581e-05,              5.581e-05
                     60,                0.98229,                 1.4982,                 1.3681,                0.87776,                0.41234,                0.58612,                0.35564,                 1.8221,                 1.8693,                 1.5104,              5.654e-05,              5.654e-05,              5.654e-05
                     61,                0.75219,                0.95132,                 1.1785,                0.87776,                0.41234,                0.58612,                0.35564,                 1.8221,                 1.8693,                 1.5104,             5.7263e-05,             5.7263e-05,             5.7263e-05
                     62,                0.65664,                0.80168,                 1.1219,                0.87776,                0.41234,                0.58612,                0.35564,                 1.8221,                 1.8693,                 1.5104,             5.7978e-05,             5.7978e-05,             5.7978e-05
                     63,                0.79972,                0.95979,                 1.1868,                0.87753,                0.41035,                0.56214,                 0.3246,                 1.8306,                 2.0114,                 1.5401,             5.8685e-05,             5.8685e-05,             5.8685e-05
                     64,                  1.015,                 1.4431,                 1.4101,                0.87753,                0.41035,                0.56214,                 0.3246,                 1.8306,                 2.0114,                 1.5401,             5.9384e-05,             5.9384e-05,             5.9384e-05
                     65,                 1.0282,                 1.4792,                 1.4611,                0.87753,                0.41035,                0.56214,                 0.3246,                 1.8306,                 2.0114,                 1.5401,             6.0075e-05,             6.0075e-05,             6.0075e-05
                     66,                0.95627,                 1.1168,                 1.4683,                0.87545,                0.41027,                0.56123,                0.31677,                 1.8079,                 2.0084,                  1.527,             6.0758e-05,             6.0758e-05,             6.0758e-05
                     67,                0.84426,                 1.1724,                 1.2971,                0.87545,                0.41027,                0.56123,                0.31677,                 1.8079,                 2.0084,                  1.527,             6.1434e-05,             6.1434e-05,             6.1434e-05
                     68,                0.85893,                0.86149,                 1.1907,                0.87545,                0.41027,                0.56123,                0.31677,                 1.8079,                 2.0084,                  1.527,             6.2102e-05,             6.2102e-05,             6.2102e-05
                     69,                0.80343,                0.82519,                 1.1279,                0.87435,                0.41074,                0.50043,                0.25839,                 1.8022,                 2.2175,                  1.561,             6.2762e-05,             6.2762e-05,             6.2762e-05
                     70,                0.80682,                0.87336,                 1.2125,                0.87435,                0.41074,                0.50043,                0.25839,                 1.8022,                 2.2175,                  1.561,             6.3414e-05,             6.3414e-05,             6.3414e-05
                     71,                0.69248,                0.89401,                  1.168,                0.87435,                0.41074,                0.50043,                0.25839,                 1.8022,                 2.2175,                  1.561,             6.4058e-05,             6.4058e-05,             6.4058e-05
